iter	Passed	Remaining
0	0	86
1	1	76
2	2	72
3	2	66
4	3	66
5	4	65
6	4	65
7	5	64
8	6	63
9	7	63
10	8	65
11	8	64
12	9	63
13	10	63
14	10	62
15	11	60
16	12	60
17	12	59
18	13	58
19	14	57
20	15	56
21	15	55
22	16	54
23	17	54
24	17	53
25	18	52
26	19	51
27	19	50
28	20	50
29	21	49
30	22	49
31	23	49
32	23	48
33	25	48
34	25	48
35	26	47
36	27	46
37	28	45
38	28	44
39	29	44
40	30	43
41	30	41
42	30	41
43	31	40
44	32	39
45	33	38
46	33	38
47	35	37
48	35	37
49	36	36
50	37	35
51	38	35
52	38	34
53	39	33
54	39	32
55	40	31
56	41	31
57	41	30
58	42	29
59	43	29
60	44	28
61	44	27
62	45	26
63	46	26
64	46	25
65	47	24
66	48	23
67	49	23
68	52	23
69	53	22
70	54	22
71	55	21
72	55	20
73	56	19
74	57	19
75	57	18
76	58	17
77	59	16
78	59	15
79	60	15
80	61	14
81	61	13
82	62	12
83	63	12
84	64	11
85	65	10
86	66	9
87	66	9
88	67	8
89	68	7
90	68	6
91	69	6
92	70	5
93	71	4
94	71	3
95	72	3
96	73	2
97	73	1
98	74	0
99	75	0
